"","uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","flag_source"
"17","P02679","FIBG_HUMAN","FGG","Fibrinogen gamma chain",23,9453791,NA,NA,FALSE,TRUE,"HPA"
"18","P02671","FIBA_HUMAN","FGA","Fibrinogen alpha chain",27,9218186,NA,NA,FALSE,TRUE,"HPA"
"19","P06727","APOA4_HUMAN","APOA4","Apolipoprotein A-IV",28,9169813,NA,NA,FALSE,FALSE,"HPA"
"20","A0A0B4J1Y9","HV372_HUMAN","IGHV3-72","Immunoglobulin heavy variable 3-72",4,9099249,NA,NA,FALSE,FALSE,"HPA"
"21","P02749","APOH_HUMAN","APOH","Beta-2-glycoprotein 1",10,8502009,NA,NA,FALSE,TRUE,"HPA"
"22","P01042","KNG1_HUMAN","KNG1","Kininogen-1",16,8301201,NA,NA,FALSE,TRUE,"HPA"
"23","B9A064","IGLL5_HUMAN","IGLL5","Immunoglobulin lambda-like polypeptide 5",3,7761363,NA,NA,FALSE,FALSE,"HPA"
"24","P0C0L5","CO4B_HUMAN","C4B","Complement C4-B",70,7597048,NA,NA,FALSE,TRUE,"HPA"
"25","P01860","IGHG3_HUMAN","IGHG3","Immunoglobulin heavy constant gamma 3",4,7521717,NA,NA,FALSE,TRUE,"HPA"
"26","P04004","VTNC_HUMAN","VTN","Vitronectin",11,7064662,NA,NA,FALSE,FALSE,"HPA"
"27","P04217","A1BG_HUMAN","A1BG","Alpha-1B-glycoprotein",18,7036224,NA,NA,FALSE,TRUE,"HPA"
"28","P31151","S10A7_HUMAN","S100A7","Protein S100-A7",5,6522233,NA,NA,FALSE,FALSE,"HPA"
"29","P10412","H14_HUMAN","H1-4","Histone H1.4",5,6150811,NA,NA,FALSE,FALSE,"HPA"
"30","P00747","PLMN_HUMAN","PLG","Plasminogen",36,6088080,NA,NA,FALSE,TRUE,"HPA"
"31","P01008","ANT3_HUMAN","SERPINC1","Antithrombin-III",23,5415533,NA,NA,FALSE,TRUE,"HPA"
"32","P01861","IGHG4_HUMAN","IGHG4","Immunoglobulin heavy constant gamma 4",5,5404921,NA,NA,FALSE,TRUE,"HPA"
