"","uniprot_id","protein","gene","description","in_hpa_muscle","in_blood_blacklist","flag_source"
"113","P04114","APOB_HUMAN","APOB","Apolipoprotein B-100",FALSE,TRUE,"HPA"
"114","P04196","HRG_HUMAN","HRG","Histidine-rich glycoprotein",FALSE,FALSE,"HPA"
"115","P04211","LV743_HUMAN","IGLV7-43","Immunoglobulin lambda variable 7-43",FALSE,FALSE,"HPA"
"116","P04217","A1BG_HUMAN","A1BG","Alpha-1B-glycoprotein",FALSE,TRUE,"HPA"
"117","P04259","K2C6B_HUMAN","KRT6B","Keratin, type II cytoskeletal 6B",FALSE,FALSE,"HPA"
"118","P04275","VWF_HUMAN","VWF","von Willebrand factor",TRUE,TRUE,"Blood Blacklist"
"119","P04278","SHBG_HUMAN","SHBG","Sex hormone-binding globulin",FALSE,FALSE,"HPA"
"120","P04430","KV116_HUMAN","IGKV1-16","Immunoglobulin kappa variable 1-16",FALSE,FALSE,"HPA"
"121","P05089","ARGI1_HUMAN","ARG1","Arginase-1",FALSE,FALSE,"HPA"
"122","P05160","F13B_HUMAN","F13B","Coagulation factor XIII B chain",FALSE,TRUE,"HPA"
"123","P05543","THBG_HUMAN","SERPINA7","Thyroxine-binding globulin",FALSE,FALSE,"HPA"
"124","P05546","HEP2_HUMAN","SERPIND1","Heparin cofactor 2",FALSE,TRUE,"HPA"
"125","P05771","KPCB_HUMAN","PRKCB","Protein kinase C beta type",FALSE,FALSE,"HPA"
"126","P06310","KV230_HUMAN","IGKV2-30","Immunoglobulin kappa variable 2-30",FALSE,FALSE,"HPA"
"127","P06331","HV434_HUMAN","IGHV4-34","Immunoglobulin heavy variable 4-34",FALSE,FALSE,"HPA"
"128","P06727","APOA4_HUMAN","APOA4","Apolipoprotein A-IV",FALSE,FALSE,"HPA"
"129","P07196","NFL_HUMAN","NEFL","Neurofilament light polypeptide",FALSE,FALSE,"HPA"
"130","P07205","PGK2_HUMAN","PGK2","Phosphoglycerate kinase 2",FALSE,FALSE,"HPA"
"131","P07225","PROS_HUMAN","PROS1","Vitamin K-dependent protein S",TRUE,TRUE,"Blood Blacklist"
"132","P07357","CO8A_HUMAN","C8A","Complement component C8 alpha chain",FALSE,TRUE,"HPA"
"133","P07358","CO8B_HUMAN","C8B","Complement component C8 beta chain",FALSE,TRUE,"HPA"
"134","P07360","CO8G_HUMAN","C8G","Complement component C8 gamma chain",TRUE,TRUE,"Blood Blacklist"
"135","P07996","TSP1_HUMAN","THBS1","Thrombospondin-1",TRUE,TRUE,"Blood Blacklist"
"136","P08185","CBG_HUMAN","SERPINA6","Corticosteroid-binding globulin",FALSE,FALSE,"HPA"
"137","P08514","ITA2B_HUMAN","ITGA2B","Integrin alpha-IIb",FALSE,FALSE,"HPA"
"138","P08519","APOA_HUMAN","LPA","Apolipoprotein(a)",FALSE,FALSE,"HPA"
"139","P08779","K1C16_HUMAN","KRT16","Keratin, type I cytoskeletal 16",FALSE,FALSE,"HPA"
"140","P09105","HBAT_HUMAN","HBQ1","Hemoglobin subunit theta-1",FALSE,FALSE,"HPA"
"141","P0C0L4","CO4A_HUMAN","C4A","Complement C4-A",TRUE,TRUE,"Blood Blacklist"
"142","P0C0L5","CO4B_HUMAN","C4B","Complement C4-B",FALSE,TRUE,"HPA"
"143","P0CG29","GST2_HUMAN","GSTT2","Glutathione S-transferase theta-2",FALSE,FALSE,"HPA"
"144","P0CG38","POTEI_HUMAN","POTEI","POTE ankyrin domain family member I",FALSE,FALSE,"HPA"
"145","P0DJI8","SAA1_HUMAN","SAA1","Serum amyloid A-1 protein",TRUE,TRUE,"Blood Blacklist"
"146","P0DN76","U2AF5_HUMAN","U2AF1L5","Splicing factor U2AF 35 kDa subunit-like protein",FALSE,FALSE,"HPA"
"147","P0DOY2","IGLC2_HUMAN","IGLC2","Immunoglobulin lambda constant 2",TRUE,TRUE,"Blood Blacklist"
"148","P10412","H14_HUMAN","H1-4","Histone H1.4",FALSE,FALSE,"HPA"
"149","P10643","CO7_HUMAN","C7","Complement component C7",TRUE,TRUE,"Blood Blacklist"
"150","P10909","CLUS_HUMAN","CLU","Clusterin",TRUE,TRUE,"Blood Blacklist"
"151","P12532","KCRU_HUMAN","CKMT1A","Creatine kinase U-type, mitochondrial",FALSE,FALSE,"HPA"
"152","P13637","AT1A3_HUMAN","ATP1A3","Sodium/potassium-transporting ATPase subunit alpha-3",FALSE,FALSE,"HPA"
"153","P13671","CO6_HUMAN","C6","Complement component C6",FALSE,TRUE,"HPA"
"154","P14780","MMP9_HUMAN","MMP9","Matrix metalloproteinase-9",FALSE,FALSE,"HPA"
"155","P15169","CBPN_HUMAN","CPN1","Carboxypeptidase N catalytic chain",FALSE,FALSE,"HPA"
"156","P15814","IGLL1_HUMAN","IGLL1","Immunoglobulin lambda-like polypeptide 1",FALSE,FALSE,"HPA"
"157","P16112","PGCA_HUMAN","ACAN","Aggrecan core protein",FALSE,FALSE,"HPA"
"158","P16401","H15_HUMAN","H1-5","Histone H1.5",FALSE,FALSE,"HPA"
"159","P16452","EPB42_HUMAN","EPB42","Erythrocyte membrane protein band 4.2",FALSE,FALSE,"HPA"
